frame,xmin,xmax,ymin,ymax,class_id
F001_G001_O001_0001.jpg,68,334,121,480,1
F001_G001_O001_0011.jpg,117,371,98,462,1
F001_G001_O001_0021.jpg,110,365,101,462,1
F001_G001_O001_0031.jpg,60,335,71,480,1
F001_G001_O001_0041.jpg,50,313,47,471,1
F001_G001_O001_0051.jpg,59,296,65,474,1
F001_G001_O001_0061.jpg,66,303,50,430,1
F001_G001_O001_0071.jpg,139,373,50,421,1
F001_G001_O001_0081.jpg,122,424,59,433,1
F001_G001_O001_0091.jpg,58,348,33,441,1
F001_G001_O001_0101.jpg,53,267,36,421,1
F001_G001_O001_0111.jpg,130,341,30,415,1
F001_G001_O001_0121.jpg,50,263,33,415,1
F001_G001_O001_0131.jpg,94,322,41,415,1
F001_G001_O001_0141.jpg,52,292,65,429,1
F001_G001_O001_0151.jpg,121,364,39,424,1
F001_G001_O001_0161.jpg,67,346,12,444,1
F001_G001_O001_0171.jpg,53,308,27,441,1
F001_G001_O001_0181.jpg,51,294,50,424,1
F001_G001_O001_0191.jpg,44,305,9,406,1
F001_G001_O001_0201.jpg,43,336,86,462,1
F001_G001_O001_0211.jpg,39,338,86,456,1
F001_G001_O001_0221.jpg,78,424,92,453,1
F001_G001_O001_0231.jpg,18,355,86,456,1
F001_G001_O001_0241.jpg,101,432,86,456,1
F001_G001_O001_0251.jpg,20,349,83,453,1
F001_G001_O001_0261.jpg,34,360,80,450,1
F001_G001_O001_0271.jpg,46,377,83,453,1
F001_G001_O001_0281.jpg,25,359,83,453,1
F001_G001_O001_0291.jpg,84,415,86,453,1
F002_G001_O001_0001.jpg,60,374,107,480,1
F002_G001_O001_0011.jpg,44,366,124,480,1
F002_G001_O001_0021.jpg,124,450,136,480,1
F002_G001_O001_0031.jpg,72,389,121,480,1
F002_G001_O001_0041.jpg,7,344,142,480,1
F002_G001_O001_0051.jpg,73,413,157,480,1
F002_G001_O001_0061.jpg,90,356,59,480,1
F002_G001_O001_0071.jpg,3,311,116,480,1
F002_G001_O001_0081.jpg,18,334,116,480,1
F002_G001_O001_0091.jpg,111,407,71,480,1
F002_G001_O001_0101.jpg,110,463,157,480,1
F002_G001_O001_0111.jpg,132,461,184,480,1
F002_G001_O001_0121.jpg,103,441,184,480,1
F002_G001_O001_0131.jpg,9,353,181,480,1
F002_G001_O001_0141.jpg,106,441,193,480,1
F002_G001_O001_0151.jpg,60,383,204,480,1
F002_G001_O001_0161.jpg,2,266,231,480,1
F002_G001_O001_0171.jpg,18,323,231,477,1
F002_G001_O001_0181.jpg,32,302,234,477,1
F002_G001_O001_0191.jpg,44,343,213,474,1
F002_G001_O001_0201.jpg,57,389,225,480,1
F002_G001_O001_0211.jpg,62,367,231,480,1
F002_G001_O001_0221.jpg,170,454,231,468,1
F002_G001_O001_0231.jpg,56,400,204,480,1
F002_G001_O001_0241.jpg,112,370,181,480,1
F002_G001_O001_0251.jpg,60,333,178,480,1
F002_G001_O001_0261.jpg,59,317,163,480,1
F002_G001_O001_0271.jpg,92,382,178,480,1
F002_G001_O001_0281.jpg,164,431,201,480,1
F002_G001_O001_0291.jpg,40,312,190,480,1
F003_G001_O001_0001.jpg,60,359,145,468,1
F003_G001_O001_0011.jpg,96,380,163,459,1
F003_G001_O001_0021.jpg,138,446,172,459,1
F003_G001_O001_0031.jpg,42,385,199,462,1
F003_G001_O001_0041.jpg,66,409,196,465,1
F003_G001_O001_0051.jpg,50,355,175,471,1
F003_G001_O001_0061.jpg,135,402,151,468,1
F003_G001_O001_0071.jpg,70,307,133,468,1
F003_G001_O001_0081.jpg,124,340,124,465,1
F003_G001_O001_0091.jpg,71,314,130,471,1
F003_G001_O001_0101.jpg,73,399,201,459,1
