frame,xmin,xmax,ymin,ymax,class_id
CARDS_COURTYARD_B_Tframe_0036.jpg,231,297,199,235,1
CARDS_COURTYARD_B_Tframe_0036.jpg,121,171,191,296,1
CARDS_COURTYARD_B_Tframe_0099.jpg,107,178,258,299,1
CARDS_COURTYARD_B_Tframe_0099.jpg,82,157,169,217,1
CARDS_COURTYARD_B_Tframe_0099.jpg,24,77,156,206,1
CARDS_COURTYARD_B_Tframe_0113.jpg,212,283,176,219,1
CARDS_COURTYARD_B_Tframe_0113.jpg,159,208,164,213,1
CARDS_COURTYARD_B_Tframe_0176.jpg,176,248,180,225,1
CARDS_COURTYARD_B_Tframe_0176.jpg,105,172,161,216,1
CARDS_COURTYARD_B_Tframe_0184.jpg,88,165,185,235,1
CARDS_COURTYARD_B_Tframe_0184.jpg,22,87,164,226,1
CARDS_COURTYARD_B_Tframe_0187.jpg,85,164,191,236,1
CARDS_COURTYARD_B_Tframe_0187.jpg,27,87,161,220,1
CARDS_COURTYARD_B_Tframe_0189.jpg,124,202,188,231,1
CARDS_COURTYARD_B_Tframe_0189.jpg,66,127,160,217,1
CARDS_COURTYARD_B_Tframe_0206.jpg,108,185,182,228,1
CARDS_COURTYARD_B_Tframe_0206.jpg,40,90,151,203,1
CARDS_COURTYARD_B_Tframe_0241.jpg,144,223,167,213,1
CARDS_COURTYARD_B_Tframe_0241.jpg,94,145,159,213,1
CARDS_COURTYARD_B_Tframe_0295.jpg,103,177,174,217,1
CARDS_COURTYARD_B_Tframe_0295.jpg,48,98,160,213,1
CARDS_COURTYARD_B_Tframe_0316.jpg,166,238,179,219,1
CARDS_COURTYARD_B_Tframe_0316.jpg,93,147,154,207,1
CARDS_COURTYARD_B_Tframe_0324.jpg,53,120,263,299,1
CARDS_COURTYARD_B_Tframe_0324.jpg,128,197,190,231,1
CARDS_COURTYARD_B_Tframe_0324.jpg,52,107,161,218,1
CARDS_COURTYARD_B_Tframe_0381.jpg,146,221,178,223,1
CARDS_COURTYARD_B_Tframe_0381.jpg,89,138,157,209,1
CARDS_COURTYARD_B_Tframe_0384.jpg,145,217,179,221,1
CARDS_COURTYARD_B_Tframe_0384.jpg,86,143,154,211,1
CARDS_COURTYARD_B_Tframe_0484.jpg,217,294,148,188,1
CARDS_COURTYARD_B_Tframe_0484.jpg,166,216,129,179,1
CARDS_COURTYARD_B_Tframe_0580.jpg,72,143,151,199,1
CARDS_COURTYARD_B_Tframe_0580.jpg,3,58,169,277,1
CARDS_COURTYARD_B_Tframe_0647.jpg,175,249,158,201,1
CARDS_COURTYARD_B_Tframe_0647.jpg,113,174,140,193,1
CARDS_COURTYARD_B_Tframe_0649.jpg,69,141,160,203,1
CARDS_COURTYARD_B_Tframe_0649.jpg,5,68,142,195,1
CARDS_COURTYARD_B_Tframe_0752.jpg,92,163,151,198,1
CARDS_COURTYARD_B_Tframe_0752.jpg,40,93,140,189,1
CARDS_COURTYARD_B_Tframe_0781.jpg,186,256,162,207,1
CARDS_COURTYARD_B_Tframe_0781.jpg,118,180,133,186,1
CARDS_COURTYARD_B_Tframe_0831.jpg,204,273,158,204,1
CARDS_COURTYARD_B_Tframe_0831.jpg,147,200,144,192,1
CARDS_COURTYARD_B_Tframe_0906.jpg,200,268,166,211,1
CARDS_COURTYARD_B_Tframe_0906.jpg,137,197,152,202,1
CARDS_COURTYARD_B_Tframe_0912.jpg,121,177,166,209,1
CARDS_COURTYARD_B_Tframe_0912.jpg,49,121,144,198,1
CARDS_COURTYARD_B_Tframe_0941.jpg,61,137,168,215,1
CARDS_COURTYARD_B_Tframe_0941.jpg,6,70,154,198,1
CARDS_COURTYARD_B_Tframe_0988.jpg,152,217,159,207,1
CARDS_COURTYARD_B_Tframe_0988.jpg,98,158,154,197,1
CARDS_COURTYARD_B_Tframe_1009.jpg,202,260,154,205,1
CARDS_COURTYARD_B_Tframe_1009.jpg,112,164,153,209,1
CARDS_COURTYARD_B_Tframe_1024.jpg,100,153,148,203,1
CARDS_COURTYARD_B_Tframe_1024.jpg,40,108,135,187,1
CARDS_COURTYARD_B_Tframe_1051.jpg,196,292,233,299,1
CARDS_COURTYARD_B_Tframe_1051.jpg,170,229,143,199,1
CARDS_COURTYARD_B_Tframe_1051.jpg,113,180,145,186,1
CARDS_COURTYARD_B_Tframe_1106.jpg,121,170,170,228,1
CARDS_COURTYARD_B_Tframe_1106.jpg,9,65,172,239,1
CARDS_COURTYARD_B_Tframe_1133.jpg,105,166,196,247,1
CARDS_COURTYARD_B_Tframe_1133.jpg,30,98,186,239,1
CARDS_COURTYARD_B_Tframe_1164.jpg,227,283,181,239,1
CARDS_COURTYARD_B_Tframe_1164.jpg,145,224,160,220,1
CARDS_COURTYARD_B_Tframe_1196.jpg,155,211,169,228,1
CARDS_COURTYARD_B_Tframe_1196.jpg,60,129,164,235,1
CARDS_COURTYARD_B_Tframe_1262.jpg,206,226,287,298,1
CARDS_COURTYARD_B_Tframe_1262.jpg,177,238,196,262,1
CARDS_COURTYARD_B_Tframe_1262.jpg,27,83,188,252,1
CARDS_COURTYARD_B_Tframe_1279.jpg,46,128,233,298,1
CARDS_COURTYARD_B_Tframe_1279.jpg,193,271,230,299,1
CARDS_COURTYARD_B_Tframe_1279.jpg,169,231,192,244,1
CARDS_COURTYARD_B_Tframe_1279.jpg,35,110,171,246,1
CARDS_COURTYARD_B_Tframe_1294.jpg,95,177,259,299,1
CARDS_COURTYARD_B_Tframe_1294.jpg,208,267,170,239,1
CARDS_COURTYARD_B_Tframe_1294.jpg,40,96,170,234,1
CARDS_COURTYARD_B_Tframe_1317.jpg,65,150,263,299,1
CARDS_COURTYARD_B_Tframe_1317.jpg,148,226,188,252,1
CARDS_COURTYARD_B_Tframe_1317.jpg,82,138,179,233,1
CARDS_COURTYARD_B_Tframe_1340.jpg,81,156,232,298,1
CARDS_COURTYARD_B_Tframe_1340.jpg,167,186,271,299,1
